ID,company_id,name,address,city,state,zip,Climate Division,County
1,30,1HVAC-Brock (former UNDERWOOD HVAC),"4450 Commerce Drive, SW",Atlanta,GA,30336,902,Fulton County
2,30,1HVAC-Brock (former UNDERWOOD HVAC),1199 Atlanta Industrial Dr,Marietta,GA,30066,902,Cobb County
3,31,AIR DEPOT,1101 E. Hill Avenue,Valdosta,GA,31601,908,Lowndes County
4,32,"AIR SUPPLY GENERAL, INC",15 Westgate Blvd,Savannah,GA,31405,909,Chatham County
5,33,ALL METRO ELECTRICAL DISTRIBUTORS,3755 Hewatt Court,Snellville,GA,30039,902,Gwinnett County
6,8,ALPS REFRIGERATION EQPT SALES,2020 Mac Ivor Drive NE,Cairo,GA,39828,907,Grady County
7,34,APPLIED AIR SOLUTIONS,1205 Johnson Ferry Road,Marietta,GA,30068,902,Cobb County
8,9,ASSOCIATED EQUIPMENT CO.,2103 North Monroe Street,Albany,GA,31701,907,Dougherty County
9,9,ASSOCIATED EQUIPMENT CO.,1400 Northbrook Pkwy Ste 330,Suwanee,GA,30024,902,Gwinnett County
10,35,"ATCO SUPPLY CO., INC.",1475 Chase Street,Athens,GA,30603,902,Clarke County
11,36,ATLAS MANUFACTURING,9596 Hwy 82 East,Alapaha,GA,31622,908,Berrien County
12,22,BAKER DISTRIBUTING,423 South Westover Blvd,Albany,GA,31707,907,Dougherty County
13,22,BAKER DISTRIBUTING,150 Paradise Blvd.,Athens,GA,30607,902,Clarke County
14,22,BAKER DISTRIBUTING,1158 Logan Circle NW,Atlanta,GA,30318,902,Fulton County
15,22,BAKER DISTRIBUTING,513 National Avenue,Augusta,GA,30901,906,Richmond County
16,22,BAKER DISTRIBUTING,2122 Line St.,Brunswick,GA,31520,909,Glynn County
17,22,BAKER DISTRIBUTING,203 James E. Williams Ind. Drive,Byron,GA,31008,905,Peach County
18,22,BAKER DISTRIBUTING,9158 Wheat Street,Covington,GA,30014,905,Newton County
